FacilityID,CampsiteName,CampsiteLongitude,CampsiteLatitude
10191105,Standard,-113.625292,42.317857
10191110,Standard,-114.285877,42.194344
10191115,Standard,-94.508474,47.603435
256932,22,-118.825107,36.719413
256933,50,-112.476741,34.510521
10192010,ELDRIDGE GUARD STATION,-111.312247,45.069868
10192012,Standard,-89.672941,46.35924
10192037,Standard,-116.732053,33.803978
10192062,Standard,-89.790043,46.331637
10192067,Standard,-117.068889,34.352222
10192097,Standard,-89.604359,46.241627
10192122,Standard,-116.456766,33.584877
10192127,Standard,-89.573968,46.281466
233700,1,-95.376952,38.913962
233659,D02,-97.979159,38.628817
256934,1,-81.259472,36.758706
256935,1,-81.064547,36.835847
231848,46,-106.493493,41.3253
233561,Group Camp,-97.467224,42.844727
232433,A080,-78.668023,38.246992
10203811,1,-83.973776,34.675911
232157,10,-106.748163,38.73075
234297,5,-112.364197,38.753228
260558,3,-113.317516,44.434482
232500,8,-119.028699,33.479368
232502,6,-119.367751,34.013854
234469,25,-83.967689,34.742706
232499,4,-119.660805,34.010678
232501,9,-120.348806,34.04047
10207636,1,-83.93597,35.63707
234557,Volley Ball Net,-79.97372,37.985399
233395,18,-106.281006,35.795824
233832,16,-96.068519,37.645845
261793,GS02,-81.695746,26.720756
261791,Site 1,-123.818052,45.179811
262752,site 3,-123.794785,45.230379
264293,4,-68.653144,44.028185
10214673,1,-109.622432,38.145929
10214711,1,-109.608969,37.262811
10214735,1,-109.631466,38.165333
10214768,1,-109.669222,38.192051
265539,1,-84.156944,44.5525
266136,HERON,-111.045935,33.634453
266138,6,-121.853828,43.58844
266142,17,-121.701102,44.484651
266140,1,-121.629703,43.725955
247566,1,-112.728476,32.072025
10220609,HORSE #1 (HORSES ARE MANDATORY),-119.653589,37.539277
266141,15,-121.764352,43.732524
266139,3,-121.620861,44.557786
266137,2,-121.617605,43.736463
266135,GROUP,-111.12451,33.666439
10224635,Old Picnic Area,-78.303329,36.599438
266143,Group Shelter,-115.997789,43.630274
267070,14,-121.966102,43.564567
267071,5,-121.624488,44.10291
